 f [Hz]  Z [Ohm] 
 (1.10000e+00+0.00000e+00j)  (5.56733e-02+4.68410e-02j)
 (1.20000e+00+0.00000e+00j)  (5.80274e-02+4.85419e-02j)
 (1.30000e+00+0.00000e+00j)  (6.02743e-02+5.01499e-02j)
 (1.40000e+00+0.00000e+00j)  (6.24263e-02+5.16761e-02j)
 (1.50000e+00+0.00000e+00j)  (6.44933e-02+5.31296e-02j)
 (1.60000e+00+0.00000e+00j)  (6.64839e-02+5.45181e-02j)
 (1.70000e+00+0.00000e+00j)  (6.84050e-02+5.58480e-02j)
 (1.80000e+00+0.00000e+00j)  (7.02629e-02+5.71246e-02j)
 (1.90000e+00+0.00000e+00j)  (7.20626e-02+5.83526e-02j)
 (2.00000e+00+0.00000e+00j)  (7.38089e-02+5.95362e-02j)
 (2.10000e+00+0.00000e+00j)  (7.55057e-02+6.06788e-02j)
 (2.20000e+00+0.00000e+00j)  (7.71564e-02+6.17835e-02j)
 (2.30000e+00+0.00000e+00j)  (7.87644e-02+6.28531e-02j)
 (2.40000e+00+0.00000e+00j)  (8.03323e-02+6.38901e-02j)
 (2.50000e+00+0.00000e+00j)  (8.18627e-02+6.48966e-02j)
 (2.60000e+00+0.00000e+00j)  (8.33579e-02+6.58745e-02j)
 (2.70000e+00+0.00000e+00j)  (8.48198e-02+6.68257e-02j)
 (2.80000e+00+0.00000e+00j)  (8.62504e-02+6.77516e-02j)
 (2.90000e+00+0.00000e+00j)  (8.76513e-02+6.86539e-02j)
 (3.00000e+00+0.00000e+00j)  (8.90241e-02+6.95338e-02j)
 (3.10000e+00+0.00000e+00j)  (9.03703e-02+7.03924e-02j)
 (3.20000e+00+0.00000e+00j)  (9.16910e-02+7.12310e-02j)
 (3.30000e+00+0.00000e+00j)  (9.29876e-02+7.20505e-02j)
 (3.40000e+00+0.00000e+00j)  (9.42611e-02+7.28518e-02j)
 (3.50000e+00+0.00000e+00j)  (9.55126e-02+7.36359e-02j)
 (3.60000e+00+0.00000e+00j)  (9.67430e-02+7.44035e-02j)
 (3.70000e+00+0.00000e+00j)  (9.79532e-02+7.51553e-02j)
 (3.80000e+00+0.00000e+00j)  (9.91441e-02+7.58922e-02j)
 (3.90000e+00+0.00000e+00j)  (1.00316e-01+7.66146e-02j)
 (4.00000e+00+0.00000e+00j)  (1.01471e-01+7.73233e-02j)
 (4.10000e+00+0.00000e+00j)  (1.02608e-01+7.80187e-02j)
 (4.20000e+00+0.00000e+00j)  (1.03729e-01+7.87015e-02j)
 (4.30000e+00+0.00000e+00j)  (1.04834e-01+7.93720e-02j)
 (4.40000e+00+0.00000e+00j)  (1.05923e-01+8.00308e-02j)
 (4.50000e+00+0.00000e+00j)  (1.06998e-01+8.06783e-02j)
 (4.60000e+00+0.00000e+00j)  (1.08058e-01+8.13149e-02j)
 (4.70000e+00+0.00000e+00j)  (1.09105e-01+8.19410e-02j)
 (4.80000e+00+0.00000e+00j)  (1.10138e-01+8.25569e-02j)
 (4.90000e+00+0.00000e+00j)  (1.11158e-01+8.31631e-02j)
 (5.00000e+00+0.00000e+00j)  (1.12166e-01+8.37598e-02j)
 (5.10000e+00+0.00000e+00j)  (1.13162e-01+8.43474e-02j)
 (5.20000e+00+0.00000e+00j)  (1.14145e-01+8.49261e-02j)
 (5.30000e+00+0.00000e+00j)  (1.15118e-01+8.54962e-02j)
 (5.40000e+00+0.00000e+00j)  (1.16079e-01+8.60580e-02j)
 (5.50000e+00+0.00000e+00j)  (1.17029e-01+8.66118e-02j)
 (5.60000e+00+0.00000e+00j)  (1.17969e-01+8.71577e-02j)
 (5.70000e+00+0.00000e+00j)  (1.18899e-01+8.76961e-02j)
 (5.80000e+00+0.00000e+00j)  (1.19819e-01+8.82271e-02j)
 (5.90000e+00+0.00000e+00j)  (1.20729e-01+8.87509e-02j)
 (6.00000e+00+0.00000e+00j)  (1.21630e-01+8.92678e-02j)
 (6.10000e+00+0.00000e+00j)  (1.22521e-01+8.97779e-02j)
 (6.20000e+00+0.00000e+00j)  (1.23404e-01+9.02815e-02j)
 (6.30000e+00+0.00000e+00j)  (1.24278e-01+9.07786e-02j)
 (6.40000e+00+0.00000e+00j)  (1.25143e-01+9.12695e-02j)
 (6.50000e+00+0.00000e+00j)  (1.26001e-01+9.17544e-02j)
 (6.60000e+00+0.00000e+00j)  (1.26850e-01+9.22333e-02j)
 (6.70000e+00+0.00000e+00j)  (1.27691e-01+9.27064e-02j)
 (6.80000e+00+0.00000e+00j)  (1.28524e-01+9.31739e-02j)
 (6.90000e+00+0.00000e+00j)  (1.29350e-01+9.36360e-02j)
 (7.00000e+00+0.00000e+00j)  (1.30169e-01+9.40926e-02j)
 (7.10000e+00+0.00000e+00j)  (1.30980e-01+9.45441e-02j)
 (7.20000e+00+0.00000e+00j)  (1.31784e-01+9.49904e-02j)
 (7.30000e+00+0.00000e+00j)  (1.32582e-01+9.54317e-02j)
 (7.40000e+00+0.00000e+00j)  (1.33372e-01+9.58682e-02j)
 (7.50000e+00+0.00000e+00j)  (1.34156e-01+9.62998e-02j)
 (7.60000e+00+0.00000e+00j)  (1.34934e-01+9.67269e-02j)
 (7.70000e+00+0.00000e+00j)  (1.35705e-01+9.71493e-02j)
 (7.80000e+00+0.00000e+00j)  (1.36470e-01+9.75673e-02j)
 (7.90000e+00+0.00000e+00j)  (1.37229e-01+9.79810e-02j)
 (8.00000e+00+0.00000e+00j)  (1.37982e-01+9.83903e-02j)
 (8.10000e+00+0.00000e+00j)  (1.38729e-01+9.87955e-02j)
 (8.20000e+00+0.00000e+00j)  (1.39470e-01+9.91965e-02j)
 (8.30000e+00+0.00000e+00j)  (1.40206e-01+9.95936e-02j)
 (8.40000e+00+0.00000e+00j)  (1.40936e-01+9.99867e-02j)
 (8.50000e+00+0.00000e+00j)  (1.41661e-01+1.00376e-01j)
 (8.60000e+00+0.00000e+00j)  (1.42380e-01+1.00761e-01j)
 (8.70000e+00+0.00000e+00j)  (1.43095e-01+1.01143e-01j)
 (8.80000e+00+0.00000e+00j)  (1.43804e-01+1.01521e-01j)
 (8.90000e+00+0.00000e+00j)  (1.44508e-01+1.01896e-01j)
 (9.00000e+00+0.00000e+00j)  (1.45207e-01+1.02267e-01j)
 (9.10000e+00+0.00000e+00j)  (1.45901e-01+1.02635e-01j)
